2022-07-23 20:09:31,568 |     INFO | Starting trading algorithm
2022-07-23 20:09:32,879 |     INFO | Initialized price at : 38.9675
2022-07-23 20:10:48,318 |     INFO | Starting trading algorithm
2022-07-23 20:10:49,806 |     INFO | Initialized price at : 38.8
2022-07-23 20:10:49,841 |     INFO | PROGRAM START
2022-07-23 20:10:54,025 |     INFO | PROGRAM END
2022-07-23 20:11:06,238 |     INFO | Starting trading algorithm
2022-07-23 20:11:07,708 |     INFO | Initialized price at : 38.77
2022-07-23 20:11:07,747 |     INFO | PROGRAM START
2022-07-23 20:12:09,097 |     INFO | PROGRAM END
2022-07-23 20:13:49,759 |     INFO | Starting trading algorithm
2022-07-23 20:13:51,088 |     INFO | Initialized price at : 38.75
2022-07-23 20:13:51,125 |     INFO | PROGRAM START
2022-07-23 20:14:52,286 |     INFO | PROGRAM END
2022-07-23 20:14:53,664 |     INFO | Starting trading algorithm
2022-07-23 20:14:55,079 |     INFO | Initialized price at : 38.7475
2022-07-23 20:14:55,119 |     INFO | PROGRAM START
2022-07-23 20:14:57,167 |     INFO | PROGRAM END
2022-07-23 20:15:04,606 |     INFO | Starting trading algorithm
2022-07-23 20:15:06,047 |     INFO | Initialized price at : 38.7475
2022-07-23 20:15:06,086 |     INFO | PROGRAM START
2022-07-23 20:15:24,707 |     INFO | PROGRAM END
